doc_index,char_lev,char_lev_norm,word_lev,word_lev_norm,token_ratio,jaccard
0,1234,0.6457,252,0.8344,0.185,0.1519
1,778,0.63,159,0.7327,0.3562,0.2714
2,635,0.4965,130,0.6132,0.4727,0.342
3,999,0.5683,225,0.7258,0.351,0.336
4,940,0.7711,180,0.9231,0.092,0.0805
5,734,0.4675,144,0.5455,0.4847,0.3269
6,677,0.7134,130,0.8725,0.3051,0.2135
7,575,0.4948,130,0.628,0.4727,0.3385
8,788,0.6052,170,0.7556,0.2967,0.2921
9,633,0.6566,129,0.8431,0.2207,0.2025
10,1027,0.5597,208,0.6933,0.3442,0.3623
11,722,0.5923,162,0.7826,0.2943,0.2113
12,773,0.6977,167,0.893,0.1905,0.169
13,659,0.4599,141,0.59,0.4529,0.4061
14,1358,0.6495,297,0.8049,0.2061,0.1979
15,1127,0.7688,235,0.9363,0.0212,0.123
16,1224,0.6473,250,0.8091,0.2833,0.2091
17,904,0.5885,199,0.7481,0.1643,0.2514
18,1241,0.8902,187,0.974,0.0786,0.0503
19,629,0.5216,114,0.6826,0.4242,0.3141
20,359,0.3572,82,0.4633,0.6254,0.4294
21,1221,0.5174,258,0.6582,0.3812,0.3241
22,1051,0.6476,224,0.8358,0.2625,0.2333
23,809,0.7041,161,0.8703,0.2077,0.1429
24,600,0.4862,130,0.6161,0.5127,0.3466
25,1395,0.6525,296,0.7914,0.1149,0.1695
26,927,0.6986,161,0.801,0.2766,0.2065
27,847,0.6847,166,0.8137,0.3289,0.25
28,1044,0.6705,205,0.8542,0.2206,0.212
29,1008,0.5015,229,0.6939,0.4465,0.4234
30,637,0.5558,136,0.6904,0.4133,0.3158
31,537,0.5749,116,0.7582,0.3759,0.3108
32,870,0.6179,168,0.7401,0.246,0.2406
33,543,0.4709,121,0.6111,0.4598,0.3118
34,294,0.2824,59,0.3371,0.7262,0.5143
35,676,0.6096,151,0.7704,0.3121,0.1858
36,902,0.5919,195,0.7358,0.249,0.2182
37,433,0.4482,99,0.5858,0.5488,0.4207
38,690,0.5828,158,0.7783,0.1818,0.2302
39,1150,0.6568,238,0.8561,0.2385,0.231
40,692,0.6732,143,0.8773,0.212,0.1742
41,576,0.6545,117,0.7852,0.2367,0.1831
42,624,0.6166,119,0.8041,0.2366,0.2071
43,772,0.7222,141,0.9038,0.1606,0.1208
44,1904,0.5902,365,0.7557,0.2941,0.2612
45,419,0.4703,90,0.5882,0.4981,0.3453
46,421,0.3949,93,0.4921,0.6011,0.3571
47,1150,0.7367,225,0.9073,0.1176,0.1036
48,921,0.7235,184,0.9246,0.1818,0.1813
49,508,0.5157,102,0.6375,0.4556,0.3902
50,542,0.4543,102,0.5258,0.5818,0.3988
51,963,0.5829,217,0.7432,0.3043,0.2386
52,629,0.6366,128,0.7805,0.2883,0.2222
53,733,0.5528,149,0.6773,0.3769,0.2687
54,642,0.4403,133,0.5708,0.5082,0.3807
55,939,0.6562,173,0.7758,0.3194,0.2212
56,835,0.4397,183,0.5613,0.4441,0.3982
57,1536,0.6767,308,0.8701,0.126,0.1528
58,504,0.4364,101,0.5489,0.4928,0.3187
59,704,0.5852,161,0.7667,0.3587,0.2772
60,549,0.5579,113,0.6933,0.4106,0.2977
61,864,0.6265,184,0.8251,0.212,0.2366
62,484,0.4974,106,0.6667,0.4545,0.3154
63,494,0.4741,98,0.5568,0.5421,0.3671
64,766,0.6785,155,0.8564,0.2058,0.142
65,916,0.6257,195,0.7992,0.3175,0.2043
66,785,0.6886,160,0.8696,0.1602,0.173
67,706,0.5735,160,0.7143,0.4502,0.3224
68,1483,0.6853,314,0.8533,0.0717,0.1863
69,715,0.5269,137,0.6402,0.4511,0.3027
70,759,0.6378,149,0.8613,0.2136,0.2222
71,532,0.6052,117,0.8014,0.2827,0.269
72,691,0.5403,149,0.7268,0.3366,0.3315
73,611,0.6074,134,0.8024,0.2913,0.2595
74,777,0.6374,163,0.815,0.2286,0.1943
75,577,0.6425,119,0.7778,0.2711,0.1711
76,614,0.647,121,0.7806,0.3588,0.2455
77,2268,0.7157,443,0.8406,0.0773,0.1597
78,1496,0.7326,279,0.8532,0.2035,0.1754
79,1093,0.6403,230,0.7744,0.289,0.2308
80,794,0.6723,164,0.8497,0.2208,0.2442
81,953,0.6749,214,0.8492,0.2022,0.1836
82,1251,0.6172,247,0.7942,0.3558,0.3372
83,609,0.6152,136,0.7953,0.2671,0.1871
84,922,0.5975,193,0.8042,0.25,0.2269
85,1332,0.7188,253,0.849,0.1137,0.1624
86,709,0.5938,152,0.7562,0.355,0.2373
87,543,0.622,124,0.8,0.3497,0.2857
88,520,0.4639,105,0.5357,0.5372,0.3526
89,1377,0.6325,272,0.7253,0.357,0.2724
90,633,0.642,119,0.758,0.3154,0.2119
91,2058,0.7156,400,0.8565,0.1204,0.1899
92,1883,0.6394,418,0.8132,0.1902,0.2107
93,708,0.6211,160,0.8247,0.2928,0.2167
94,573,0.664,120,0.8219,0.2203,0.1855
95,661,0.6657,136,0.7816,0.3082,0.2381
96,1129,0.6149,223,0.7483,0.2824,0.2692
97,351,0.411,72,0.507,0.5806,0.3644
98,866,0.7104,184,0.8598,0.2135,0.1905
99,911,0.5478,187,0.6978,0.3375,0.2644
100,607,0.7083,132,0.8859,0.0884,0.125
101,739,0.5865,148,0.7255,0.3497,0.291
102,1005,0.648,201,0.7913,0.2893,0.2146
103,618,0.5886,124,0.7168,0.3894,0.2317
104,982,0.5863,196,0.7259,0.3649,0.2681
105,647,0.5193,139,0.6715,0.437,0.2903
106,686,0.5112,154,0.6364,0.4035,0.3333
107,640,0.6262,121,0.7806,0.2963,0.2583
108,652,0.6921,137,0.8726,0.3062,0.2515
109,1043,0.5703,232,0.7342,0.3499,0.3109
110,578,0.551,119,0.7126,0.4,0.3046
111,861,0.6244,168,0.7534,0.2841,0.2066
112,551,0.4734,113,0.5795,0.5183,0.2881
113,1606,0.7456,335,0.9153,0.1288,0.1433
114,752,0.4721,153,0.5604,0.502,0.3712
115,1086,0.6809,240,0.8696,0.1607,0.1921
116,589,0.6423,132,0.8098,0.314,0.1988
117,537,0.6034,105,0.75,0.3213,0.1875
118,758,0.5372,150,0.6667,0.4062,0.2748
