doc_index,char_lev,char_lev_norm,word_lev,word_lev_norm,token_ratio,jaccard
0,1332,0.697,252,0.8344,0.2361,0.176
1,721,0.5838,156,0.7189,0.3799,0.2416
2,879,0.6873,176,0.8302,0.2295,0.1886
3,1100,0.6257,229,0.7387,0.3576,0.2673
4,803,0.6587,166,0.8513,0.2078,0.1758
5,1112,0.7083,232,0.8788,0.1165,0.09
6,559,0.589,110,0.7383,0.3669,0.2792
7,852,0.7332,186,0.8986,0.1258,0.1011
8,953,0.732,201,0.8933,0.1379,0.1383
9,583,0.6655,126,0.863,0.1532,0.1824
10,1439,0.7842,284,0.9467,0.0472,0.0792
11,816,0.6694,175,0.8454,0.2071,0.1548
12,776,0.7042,160,0.8556,0.2036,0.1882
13,1002,0.6992,209,0.8745,0.1232,0.1728
14,1670,0.7987,334,0.9051,0.1391,0.1167
15,1158,0.7899,233,0.9283,0.031,0.1183
16,1286,0.6801,255,0.8252,0.2789,0.1982
17,1033,0.8537,214,0.9683,0.0233,0.0606
18,1175,0.8429,187,0.974,0.0837,0.0599
19,803,0.6658,130,0.7784,0.3035,0.2576
20,726,0.7224,157,0.887,0.1382,0.1699
21,1457,0.6174,287,0.7321,0.3174,0.296
22,1155,0.7116,224,0.8358,0.2561,0.1842
23,762,0.7434,127,0.8355,0.2115,0.1875
24,894,0.7245,194,0.9194,0.1032,0.1105
25,1623,0.7591,346,0.9251,0.0984,0.1218
26,922,0.6948,178,0.8856,0.1865,0.2273
27,848,0.6855,174,0.8529,0.1608,0.2139
28,1090,0.7001,204,0.85,0.199,0.1478
29,1566,0.7791,304,0.9212,0.0831,0.0965
30,818,0.7144,172,0.8731,0.1929,0.1595
31,585,0.6263,114,0.7451,0.3373,0.2791
32,1022,0.7259,205,0.9031,0.1124,0.0773
33,904,0.784,181,0.9141,0.0923,0.1053
34,696,0.6686,146,0.8343,0.2336,0.2026
35,690,0.6222,151,0.7704,0.3374,0.2674
36,1064,0.6982,219,0.8264,0.2426,0.1818
37,649,0.6718,144,0.8521,0.1314,0.1447
38,714,0.7769,148,0.925,0.1161,0.125
39,1135,0.6736,225,0.8427,0.2087,0.19
40,688,0.6693,134,0.8221,0.2357,0.1769
41,644,0.7318,130,0.8725,0.1627,0.1732
42,660,0.6522,115,0.777,0.2784,0.28
43,751,0.7025,132,0.8462,0.2044,0.2256
44,2725,0.8447,465,0.9627,0.045,0.0806
45,628,0.7048,134,0.8758,0.1784,0.1324
46,804,0.7542,172,0.9198,0.0949,0.085
47,1069,0.6848,209,0.8427,0.198,0.1697
48,967,0.7992,190,0.9548,0.0403,0.0803
49,730,0.7411,145,0.9062,0.0519,0.1278
50,798,0.71,172,0.9005,0.1122,0.1488
51,972,0.5884,208,0.7123,0.3794,0.27
52,663,0.6878,139,0.858,0.1577,0.1173
53,883,0.6659,190,0.8636,0.1361,0.1421
54,1082,0.7421,209,0.897,0.1394,0.114
55,1087,0.7596,191,0.8565,0.194,0.2025
56,1145,0.6029,235,0.7209,0.2968,0.2864
57,1671,0.7361,330,0.9322,0.0593,0.085
58,695,0.6017,145,0.788,0.3111,0.2273
59,927,0.7706,198,0.9429,0.0956,0.0925
60,529,0.5376,104,0.638,0.4526,0.3643
61,837,0.7349,178,0.9271,0.1068,0.1364
62,689,0.7081,138,0.8679,0.2143,0.1538
63,735,0.7054,157,0.892,0.1476,0.1302
64,770,0.682,162,0.895,0.1127,0.141
65,1096,0.7486,222,0.9098,0.1033,0.1165
66,863,0.757,168,0.913,0.0952,0.1447
67,900,0.7311,209,0.933,0.0426,0.0816
68,1457,0.6733,293,0.7962,0.2715,0.2478
69,1080,0.7959,201,0.9393,0.065,0.0682
70,918,0.7714,164,0.948,0.0664,0.1046
71,519,0.6179,115,0.7877,0.3176,0.2623
72,910,0.7292,178,0.8945,0.1397,0.1701
73,718,0.7137,155,0.9281,0.087,0.1389
74,875,0.7178,178,0.89,0.1306,0.1053
75,665,0.7405,140,0.915,0.0727,0.1087
76,710,0.7482,137,0.8839,0.1308,0.1481
77,2443,0.7709,474,0.8994,0.1036,0.1366
78,1587,0.7772,303,0.9266,0.1116,0.109
79,1156,0.6772,242,0.8148,0.2494,0.2336
80,783,0.663,163,0.8446,0.2155,0.1782
81,1060,0.7507,235,0.9325,0.0456,0.1136
82,1489,0.7346,278,0.8939,0.1126,0.15
83,760,0.7677,159,0.9298,0.0448,0.0956
84,1106,0.7168,210,0.875,0.1908,0.1907
85,1441,0.7777,277,0.9295,0.1028,0.1304
86,826,0.6918,182,0.9055,0.1125,0.1475
87,651,0.7457,142,0.9161,0.1014,0.1103
88,722,0.6441,163,0.8316,0.2244,0.213
89,1583,0.7271,339,0.904,0.0982,0.0965
90,605,0.6136,127,0.8089,0.2519,0.2121
91,2105,0.7319,412,0.8822,0.1015,0.1451
92,2211,0.7508,459,0.893,0.163,0.1839
