doc_index,char_lev,char_lev_norm,word_lev,word_lev_norm,token_ratio,jaccard
0,1188,0.6217,233,0.7715,0.2137,0.2451
1,948,0.7128,191,0.8802,0.1473,0.176
2,865,0.6763,177,0.8349,0.2081,0.1727
3,970,0.5518,212,0.6839,0.3726,0.3938
4,650,0.5332,137,0.7026,0.3963,0.3019
5,524,0.3117,132,0.4664,0.5814,0.5506
6,658,0.6934,134,0.8993,0.2049,0.2256
7,513,0.4415,124,0.599,0.5127,0.4286
8,785,0.6029,163,0.7244,0.3452,0.2692
9,387,0.3817,88,0.5238,0.5732,0.482
10,1070,0.5831,215,0.7167,0.2714,0.3349
11,409,0.3293,83,0.401,0.6715,0.5899
12,843,0.654,167,0.8146,0.2143,0.2464
13,898,0.6267,190,0.795,0.2093,0.1897
14,1461,0.6987,323,0.8753,0.0417,0.1213
15,1079,0.736,229,0.9124,0.1053,0.1673
16,987,0.5219,202,0.6537,0.4083,0.3712
17,822,0.6089,183,0.8026,0.1871,0.185
18,1123,0.8056,186,0.9688,0.0451,0.0588
19,497,0.4121,84,0.503,0.607,0.5417
20,374,0.3286,90,0.4523,0.617,0.4765
21,1554,0.6585,331,0.8444,0.1901,0.2483
22,650,0.4005,151,0.5634,0.5233,0.4541
23,599,0.5844,109,0.7171,0.3966,0.291
24,854,0.6921,181,0.8578,0.1818,0.1471
25,1076,0.5033,230,0.615,0.4852,0.4418
26,608,0.4582,128,0.6368,0.4339,0.4667
27,547,0.4422,114,0.5588,0.5737,0.487
28,472,0.3031,85,0.3498,0.7412,0.6667
29,1461,0.7269,299,0.9061,0.1036,0.1365
30,391,0.3081,86,0.3927,0.6683,0.5962
31,478,0.5048,103,0.628,0.4795,0.3944
32,777,0.5518,167,0.7357,0.3722,0.375
33,722,0.6262,155,0.7828,0.1798,0.2151
34,609,0.585,125,0.7143,0.3473,0.2956
35,494,0.4454,116,0.5918,0.5305,0.4237
36,332,0.1947,63,0.2203,0.8348,0.7941
37,583,0.6035,127,0.7515,0.3264,0.2806
38,454,0.4898,103,0.6358,0.4907,0.3717
39,800,0.4748,156,0.5843,0.4937,0.3934
40,541,0.5263,115,0.7055,0.4272,0.3203
41,286,0.2846,66,0.3976,0.6794,0.5714
42,617,0.6097,118,0.7763,0.3467,0.352
43,762,0.7128,138,0.8846,0.1679,0.1871
44,1906,0.5908,366,0.7578,0.3066,0.2971
45,490,0.5499,115,0.7516,0.3885,0.2971
46,726,0.4789,161,0.6216,0.3991,0.3313
47,948,0.5206,180,0.6522,0.4618,0.3938
48,678,0.5082,142,0.7136,0.4388,0.3226
49,533,0.5303,105,0.6034,0.497,0.3953
50,845,0.7024,168,0.8796,0.2094,0.1702
51,931,0.5636,204,0.6986,0.3877,0.2985
52,559,0.5799,112,0.6914,0.4451,0.375
53,501,0.3778,106,0.4818,0.5661,0.5749
54,849,0.5823,169,0.7253,0.3362,0.2611
55,424,0.2902,97,0.4163,0.6491,0.5989
56,672,0.3211,137,0.3806,0.6589,0.6318
57,1610,0.7093,318,0.8983,0.0533,0.0978
58,500,0.4181,104,0.5306,0.5632,0.4097
59,786,0.5937,170,0.8095,0.276,0.2439
60,634,0.5621,123,0.7193,0.3952,0.2767
61,512,0.4468,124,0.6458,0.4474,0.4228
62,478,0.4306,116,0.5888,0.5,0.366
63,732,0.7025,155,0.8807,0.13,0.1295
64,304,0.2693,69,0.3812,0.6611,0.6124
65,989,0.655,197,0.8074,0.2484,0.2047
